epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6804,0.96733,2.34687,1.28612,0.58133,0.85,0.87794,0.63386,1.65261,1.03,1.37575,0,0,0
2,11.3095,1.25014,3.2641,1.64475,0.58725,0.85,0.84851,0.6469,1.67556,1.01923,1.38738,1.17822e-06,1.17822e-06,1.17822e-06
3,11.6426,1.34966,3.63619,1.61216,0.59025,0.85,0.8539,0.63387,1.68792,1.01392,1.39,2.33288e-06,2.33288e-06,2.33288e-06
4,11.9895,1.02836,2.75351,1.27614,0.57626,0.85,0.85442,0.63556,1.68763,1.01457,1.38153,3.46397e-06,3.46397e-06,3.46397e-06
5,12.4866,1.33444,2.98054,1.62279,0.62159,0.92591,0.90685,0.64046,1.69627,1.01644,1.38279,4.5715e-06,4.5715e-06,4.5715e-06
6,12.9589,0.94511,2.26905,1.21766,0.56189,0.85,0.85636,0.636,1.67565,1.01677,1.36993,5.65548e-06,5.65548e-06,5.65548e-06
7,13.445,1.40216,3.84282,1.75119,0.55583,0.85109,0.85941,0.62909,1.68229,1.02375,1.37089,6.71588e-06,6.71588e-06,6.71588e-06
8,13.9466,1.43982,3.96746,1.81109,0.56569,0.85455,0.86063,0.61267,1.70472,1.03714,1.38144,7.75273e-06,7.75273e-06,7.75273e-06
9,14.4433,1.36829,2.86849,1.47901,0.55948,0.86554,0.85977,0.62904,1.69998,1.0518,1.37532,8.76602e-06,8.76602e-06,8.76602e-06
10,14.9346,1.30515,2.474,1.63023,0.56129,0.86588,0.85881,0.62847,1.69169,1.04704,1.36959,9.75574e-06,9.75574e-06,9.75574e-06
11,15.4081,1.14003,1.77467,1.3849,0.58134,0.85867,0.85809,0.62363,1.69823,1.04679,1.37405,1.07219e-05,1.07219e-05,1.07219e-05
12,15.9266,1.33222,2.75168,1.52908,0.56816,0.86568,0.85553,0.632,1.6897,1.05039,1.36792,1.16645e-05,1.16645e-05,1.16645e-05
13,16.4102,1.01661,2.54252,1.37033,0.58875,0.86667,0.85559,0.63332,1.7011,1.06939,1.37149,1.25835e-05,1.25835e-05,1.25835e-05
14,16.9225,1.21522,2.14074,1.52518,0.59173,0.86667,0.88719,0.64189,1.69919,1.07607,1.37163,1.3479e-05,1.3479e-05,1.3479e-05
15,17.5095,1.22356,2.83802,1.51262,0.58928,0.86667,0.8874,0.64206,1.68557,1.07587,1.36369,1.43509e-05,1.43509e-05,1.43509e-05
16,18.059,1.03447,2.13498,1.39082,0.58623,0.86667,0.88625,0.64482,1.69257,1.07692,1.3663,1.51993e-05,1.51993e-05,1.51993e-05
17,18.6341,1.06806,2.72529,1.38519,0.5753,0.86667,0.89621,0.64617,1.69797,1.08236,1.36528,1.60241e-05,1.60241e-05,1.60241e-05
18,19.1345,0.89845,2.40718,1.32059,0.5753,0.86667,0.89621,0.64617,1.69797,1.08236,1.36528,1.68253e-05,1.68253e-05,1.68253e-05
19,19.6061,1.03196,1.8099,1.5082,0.59345,0.86667,0.88054,0.61758,1.70882,1.11206,1.37015,1.7603e-05,1.7603e-05,1.7603e-05
20,20.0984,1.20754,2.55793,1.58103,0.59345,0.86667,0.88054,0.61758,1.70882,1.11206,1.37015,1.83571e-05,1.83571e-05,1.83571e-05
21,20.6389,1.05122,2.38043,1.46657,0.59854,0.86667,0.85657,0.61518,1.7201,1.1313,1.37741,1.90876e-05,1.90876e-05,1.90876e-05
